SOURCE,award_id_piid,parent_award_agency_id,parent_award_agency_name,parent_award_id_piid,parent_award_modification_number,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award,base_and_all_options_value,potential_total_value_of_award,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,solicitation_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,foreign_funding,recipient_name,recipient_parent_name,award_type,type_of_contract_pricing,award_description,action_type_code,action_type,solicitation_identifier,product_or_service_code,product_or_service_code_description,dod_claimant_program_code,dod_claimant_program_description,naics_code,naics_description,domestic_or_foreign_entity_code,epa_designated_product,country_of_product_or_service_origin_code,place_of_manufacture,subcontracting_plan_code,subcontracting_plan,extent_competed_code,extent_competed,solicitation_procedures,type_of_set_aside,evaluated_preference,fair_opportunity_limited_sources_code,fair_opportunity_limited_sources,other_than_full_and_open_competition_code,number_of_offers_received,commercial_item_acquisition_procedures_code,commercial_item_acquisition_procedures,fed_biz_opps_code,fed_biz_opps,clinger_cohen_act_planning,materials_supplies_articles_equipment_code,materials_supplies_articles_equipment,parent_award_type_code,parent_award_type,cost_or_pricing_data_code,cost_or_pricing_data,consolidated_contract_code,consolidated_contract,multi_year_contract_code,multi_year_contract,contingency_humanitarian_or_peacekeeping_operation_code,contingency_humanitarian_or_peacekeeping_operation,tribally_owned_firm,veteran_owned_business,service_disabled_veteran_owned_business,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,minority_owned_business,subcontinent_asian_asian_indian_american_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size,contracting_officers_determination_of_business_size_code,us_federal_government,federal_agency,us_state_government,us_local_government,city_local_government,county_local_government,municipality_local_government,foreign_government,organizational_type,corporate_entity_not_tax_exempt,partnership_or_limited_liability_partnership,sole_proprietorship,international_organization,us_government_entity,educational_institution,manufacturer_of_goods,receives_contracts,receives_contracts_and_financial_assistance,airport_authority,council_of_governments,housing_authorities_public_tribal,interstate_entity,planning_commission,port_authority,transit_authority,subchapter_scorporation,limited_liability_corporation,foreign_owned,for_profit_organization,nonprofit_organization,other_not_for_profit_organization,the_ability_one_program,private_university_or_college,state_controlled_institution_of_higher_learning,dot_certified_disadvantage,self_certified_small_disadvantaged_business,small_disadvantaged_business,c8a_program_participant,historically_underutilized_business_zone_hubzone_firm,sba_certified_8a_joint_venture,last_modified_date,PALT,ninth
2018,W9124918P0126,NA,NA,NA,NA,42245.01,42245.01,42245.01,42245.01,42245.01,42245.01,8/23/2018,2018,2018-08-22T00:00:00Z,2019-08-23T00:00:00Z,2019-08-23T00:00:00Z,8/15/2018,97,DEPARTMENT OF DEFENSE (DOD),2100,DEPT OF THE ARMY,W91249,W6QM MICC-FT GORDON,97,DEPARTMENT OF DEFENSE (DOD),2100,DEPT OF THE ARMY,W81GN6,0513 MI HHC    HHC X1 MI BDE M,X,"KINNEY GROUP, INC.",KINNEY GROUP  INC.,PURCHASE ORDER,FIRM FIXED PRICE,SPLUNK ENTERPRISE SUPPORT RENEWAL,NA,NA,NA,7030,INFORMATION TECHNOLOGY SOFTWARE,C9E,ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,541519,OTHER COMPUTER RELATED SERVICES,A,MEETS REQUIREMENTS,USA,MFG IN U.S.,B,PLAN NOT REQUIRED,F,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,NA,NA,NA,3,A,COMMERCIAL ITEM,X,NOT APPLICABLE,NO,X,NOT APPLICABLE,NA,NA,NA,NA,D,NOT CONSOLIDATED,NA,NA,X,NOT APPLICABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SMALL BUSINESS,S,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CORPORATE NOT TAX EXEMPT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2020-03-27T16:02:15Z,8,P
2018,HC102818F1745,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NNG15SD11B,0,147196.8,147196.8,147196.8,147196.8,147196.8,147196.8,9/24/2018,2018,2018-09-24T00:00:00Z,2018-09-24T00:00:00Z,2018-09-24T00:00:00Z,9/10/2018,97,DEPARTMENT OF DEFENSE (DOD),97AK,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),HC1028,IT CONTRACTING DIVISION - PL83,97,DEPARTMENT OF DEFENSE (DOD),1700,DEPT OF THE NAVY,N4523A,PUGET SOUND NAVAL SHIPYARD IMF,X,"GOVSMART, INC.",GOVSMART  INC.,DELIVERY ORDER,FIRM FIXED PRICE,SPLUNK ENTERPRISE - PERPETUAL LICENSE,NA,NA,NA,7030,INFORMATION TECHNOLOGY SOFTWARE,C9E,ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,541519,OTHER COMPUTER RELATED SERVICES,A,MEETS REQUIREMENTS,USA,MFG IN U.S.,B,PLAN NOT REQUIRED,D,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,CSA,COMPETITIVE SET ASIDE,NA,4,A,COMMERCIAL ITEM,Y,YES,NO,X,NOT APPLICABLE,A,GWAC,NA,NA,D,NOT CONSOLIDATED,NA,NA,X,NOT APPLICABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SMALL BUSINESS,S,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CORPORATE NOT TAX EXEMPT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2020-04-23T11:51:20Z,14,F
2018,HC102818F1069,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NNG15SD11B,0,607223.62,607223.62,607223.62,607223.62,607223.62,607223.62,7/20/2018,2018,2018-07-20T00:00:00Z,2018-08-31T00:00:00Z,2019-07-19T00:00:00Z,5/9/2018,97,DEPARTMENT OF DEFENSE (DOD),97AK,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),HC1028,IT CONTRACTING DIVISION - PL83,97,DEPARTMENT OF DEFENSE (DOD),97AK,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),HC1047,DEFENSE INFORMATION SYSTEMS AGENCY,X,"GOVSMART, INC.",GOVSMART  INC.,DELIVERY ORDER,FIRM FIXED PRICE,"BRAND NAME F5, ARUBA, CISCO, MOBILELRON, THALES, SAMSUNG, SPLUNK AND VWWARE-DELL HARDWARE AND SOFTWARE.",NA,NA,NA,7035,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,C9E,ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,541519,OTHER COMPUTER RELATED SERVICES,A,NOT REQUIRED,USA,MFG IN U.S.,B,PLAN NOT REQUIRED,D,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,CSA,COMPETITIVE SET ASIDE,NA,1,A,COMMERCIAL ITEM,Y,YES,NO,X,NOT APPLICABLE,A,GWAC,N,NO,D,NOT CONSOLIDATED,NA,NA,X,NOT APPLICABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SMALL BUSINESS,S,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CORPORATE NOT TAX EXEMPT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2020-04-23T11:51:20Z,72,F
2018,FA488718F0296,9700,DEPT OF DEFENSE,FA873213D0028,0,53259.94,53259.94,53259.94,53259.94,53259.94,53259.94,9/26/2018,2018,2018-09-26T00:00:00Z,2018-11-26T00:00:00Z,2018-11-26T00:00:00Z,9/13/2018,97,DEPARTMENT OF DEFENSE (DOD),5700,DEPT OF THE AIR FORCE,FA4887,FA4887  56 CONS CC,97,DEPARTMENT OF DEFENSE (DOD),5700,DEPT OF THE AIR FORCE,F2U400,F2U400 56 MEDICAL GROUP,X,"M2 TECHNOLOGY, INC.",M2 TECHNOLOGY  INC.,DELIVERY ORDER,FIRM FIXED PRICE,SPLUNK SOFTWARE,NA,NA,NA,7030,INFORMATION TECHNOLOGY SOFTWARE,C9E,ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,334210,TELEPHONE APPARATUS MANUFACTURING,A,NOT REQUIRED,USA,MFG IN U.S.,B,PLAN NOT REQUIRED,A,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NA,NO PREFERENCE USED,FAIR,FAIR OPPORTUNITY GIVEN,NA,4,A,COMMERCIAL ITEM,X,NOT APPLICABLE,NO,X,NOT APPLICABLE,B,IDC,N,NO,D,NOT CONSOLIDATED,N,NO,X,NOT APPLICABLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SMALL BUSINESS,S,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CORPORATE NOT TAX EXEMPT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2020-01-04T05:03:56Z,13,F
2018,N0016718F0148,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NNG15SC34B,4,101843.35,101843.35,101843.35,101843.35,101843.35,101843.35,8/31/2018,2018,2018-08-31T00:00:00Z,2018-09-11T00:00:00Z,2018-09-11T00:00:00Z,7/6/2018,97,DEPARTMENT OF DEFENSE (DOD),1700,DEPT OF THE NAVY,N00167,NSWC CARDEROCK,97,DEPARTMENT OF DEFENSE (DOD),1700,DEPT OF THE NAVY,N00167,NSWC CARDEROCK,X,"FORCE 3, LLC",SIRIUS COMPUTER SOLUTIONS  INC.,DELIVERY ORDER,FIRM FIXED PRICE,SPLUNK ENTERPRISE UPGRADE - PERPETUAL LI,NA,NA,NA,7030,INFORMATION TECHNOLOGY SOFTWARE,C9E,ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,541519,OTHER COMPUTER RELATED SERVICES,A,MEETS REQUIREMENTS,USA,MFG IN U.S.,C,PLAN REQUIRED - INCENTIVE NOT INCLUDED,A,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NA,NO PREFERENCE USED,FAIR,FAIR OPPORTUNITY GIVEN,NA,3,A,COMMERCIAL ITEM,Y,YES,NO,X,NOT APPLICABLE,A,GWAC,N,NO,D,NOT CONSOLIDATED,NA,NA,X,NOT APPLICABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,OTHER THAN SMALL BUSINESS,O,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CORPORATE NOT TAX EXEMPT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020-02-21T02:46:20Z,56,F
2018,W91RUS18F0354,9700,DEPT OF DEFENSE,W52P1J16D0014,0,46105.13,46105.13,46105.13,46105.13,138315.39,138315.39,9/14/2018,2018,2018-09-14T00:00:00Z,2019-12-31T00:00:00Z,2021-12-31T00:00:00Z,8/24/2018,97,DEPARTMENT OF DEFENSE (DOD),2100,DEPT OF THE ARMY,W91RUS,ACC-ABERDEEN PROVING GROUNDS CONTR,97,DEPARTMENT OF DEFENSE (DOD),2100,DEPT OF THE ARMY,W61DD3,W04Y USA ELECTRONIC PROVING GR,X,"IRON BOW TECHNOLOGIES, LLC",NA,DELIVERY ORDER,FIRM FIXED PRICE,SPLUNK-BASE + 2 OPTION PERIODS,NA,NA,W91RUS18RDD52,7030,INFORMATION TECHNOLOGY SOFTWARE,C9E,ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,334111,ELECTRONIC COMPUTER MANUFACTURING,A,MEETS REQUIREMENTS,USA,MFG IN U.S.,G,COMMERCIAL SUBCONTRACT PLAN,A,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NA,NO PREFERENCE USED,FAIR,FAIR OPPORTUNITY GIVEN,NA,2,A,COMMERCIAL ITEM,Y,YES,YES,X,NOT APPLICABLE,B,IDC,N,NO,D,NOT CONSOLIDATED,N,NO,X,NOT APPLICABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OTHER THAN SMALL BUSINESS,O,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OTHER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-12-12T14:23:34Z,21,F
2018,FA440718F6H26,9700,DEPT OF DEFENSE,FA873213D0029,0,131485,131485,131485,131485,131485,131485,8/31/2018,2018,2018-08-31T00:00:00Z,2018-09-30T00:00:00Z,2018-09-30T00:00:00Z,8/14/2018,97,DEPARTMENT OF DEFENSE (DOD),5700,DEPT OF THE AIR FORCE,FA4407,FA4407  375 CONS LGC,97,DEPARTMENT OF DEFENSE (DOD),5700,DEPT OF THE AIR FORCE,F3SF39,HQ AMC IN,X,BLUE TECH INC.,BLUE TECH INC.,DELIVERY ORDER,FIRM FIXED PRICE,SPLUNK ENT SW FOR EVENT LOG/NETWORK MON,NA,NA,NA,7030,INFORMATION TECHNOLOGY SOFTWARE,C9E,ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,334210,TELEPHONE APPARATUS MANUFACTURING,A,MEETS REQUIREMENTS,USA,MFG IN U.S.,B,PLAN NOT REQUIRED,A,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NA,NO PREFERENCE USED,FAIR,FAIR OPPORTUNITY GIVEN,NA,6,A,COMMERCIAL ITEM,X,NOT APPLICABLE,NO,X,NOT APPLICABLE,B,IDC,W,NOT OBTAINED - WAIVED,D,NOT CONSOLIDATED,N,NO,X,NOT APPLICABLE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SMALL BUSINESS,S,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CORPORATE NOT TAX EXEMPT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2019-07-09T19:47:06Z,17,F
2018,HQ003418F0611,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NNG15SC86B,0,25947.67,25947.67,25947.67,25947.67,25947.67,25947.67,9/27/2018,2018,2018-09-25T00:00:00Z,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,9/7/2018,97,DEPARTMENT OF DEFENSE (DOD),97F5,WASHINGTON HEADQUARTERS SERVICES (WHS),HQ0034,WASHINGTON HEADQUARTERS SERVICES,97,DEPARTMENT OF DEFENSE (DOD),97AD,IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,HJ4701,DEFENSE TECHNICAL INFO CENTER,X,SEEDS OF GENIUS CORPORATION,SEEDS OF GENIUS CORPORATION,DELIVERY ORDER,FIRM FIXED PRICE,SPLUNK ENTERPRISE LICENSE FUNDING,NA,NA,NA,7030,INFORMATION TECHNOLOGY SOFTWARE,S1,SERVICES,541519,OTHER COMPUTER RELATED SERVICES,A,NOT REQUIRED,USA,MFG IN U.S.,B,PLAN NOT REQUIRED,D,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,CSA,COMPETITIVE SET ASIDE,NA,3,A,COMMERCIAL ITEM,Y,YES,NO,X,NOT APPLICABLE,A,GWAC,N,NO,D,NOT CONSOLIDATED,NA,NA,X,NOT APPLICABLE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SMALL BUSINESS,S,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,OTHER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2020-11-09T16:14:18Z,20,F
2018,W912PQ18F6022,9700,DEPT OF DEFENSE,FA873213D0031,0,5.50E+04,5.50E+04,5.50E+04,5.50E+04,5.50E+04,5.50E+04,9/21/2018,2018,2018-09-21T00:00:00Z,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,8/10/2018,97,DEPARTMENT OF DEFENSE (DOD),2100,DEPT OF THE ARMY,W912PQ,W7NR USPFO ACTIVITY NY ARNG,97,DEPARTMENT OF DEFENSE (DOD),5700,DEPT OF THE AIR FORCE,FA6322,FA6322 105 AW MXG,X,"GLOBAL TECHNOLOGY RESOURCES, INC.",GLOBAL TECHNOLOGY RESOURCES  INC.,DELIVERY ORDER,FIRM FIXED PRICE,SPLUNK LICENSE - 1 YEAR,NA,NA,NA,7030,INFORMATION TECHNOLOGY SOFTWARE,A7,ELECTRONICS AND COMMUNICATION EQUIPMENT,334210,TELEPHONE APPARATUS MANUFACTURING,A,MEETS REQUIREMENTS,USA,MFG IN U.S.,B,PLAN NOT REQUIRED,A,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NA,NO PREFERENCE USED,FAIR,FAIR OPPORTUNITY GIVEN,NA,8,A,COMMERCIAL ITEM,X,NOT APPLICABLE,NO,X,NOT APPLICABLE,B,IDC,W,NOT OBTAINED - WAIVED,D,NOT CONSOLIDATED,N,NO,X,NOT APPLICABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SMALL BUSINESS,S,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CORPORATE NOT TAX EXEMPT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2019-04-29T09:18:21Z,42,F
2018,HB000118F0012,8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,NNG15SC03B,2,2999004.32,2999504.32,2999004.32,2999504.32,2999504.32,2999504.32,8/24/2018,2018,2018-08-23T00:00:00Z,2019-08-19T00:00:00Z,2019-08-19T00:00:00Z,8/3/2018,97,DEPARTMENT OF DEFENSE (DOD),97CY,U.S. CYBER COMMAND,HB0001,USCYBERCOM ACQUISITION,97,DEPARTMENT OF DEFENSE (DOD),5700,DEPT OF THE AIR FORCE,F1ATCY,F1ATCY JFCC NW,X,CARAHSOFT TECHNOLOGY CORPORATION,CARAHSOFT TECHNOLOGY CORPORATION,DELIVERY ORDER,FIRM FIXED PRICE,SPLUNK ENTERPRISE,NA,NA,HB000118R0023,7020,"INFORMATION TECHNOLOGY CENTRAL PROCESSING UNIT (CPU, COMPUTER, ANALOG)",C9E,ALL OTHERS NOT IDENTIFIABLE TO ANY OTHER PROCUREMENT PROGRAM,334111,ELECTRONIC COMPUTER MANUFACTURING,A,NOT REQUIRED,USA,MFG IN U.S.,B,PLAN NOT REQUIRED,A,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,CSA,COMPETITIVE SET ASIDE,NA,2,A,COMMERCIAL ITEM,Y,YES,NO,X,NOT APPLICABLE,A,GWAC,NA,NA,D,NOT CONSOLIDATED,NA,NA,X,NOT APPLICABLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SMALL BUSINESS,S,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CORPORATE NOT TAX EXEMPT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2020-08-19T16:22:32Z,21,F
